1 9.02500e+03
2 8.27537e+03
3 6.75307e+03
4 6.40172e+03
5 6.10716e+03
6 5.86292e+03
7 5.66176e+03
8 5.49936e+03
9 5.36726e+03
10 5.26429e+03
11 5.18822e+03
12 5.03244e+03
13 4.02848e+03
14 4.12793e+03
15 4.21670e+03
16 4.29930e+03
17 4.06952e+03
18 3.89155e+03
19 3.74746e+03
20 3.63589e+03
21 3.54839e+03
22 3.35624e+03
23 2.61257e+03
24 2.63127e+03
25 2.66250e+03
26 2.69515e+03
27 2.72183e+03
28 2.73955e+03
29 2.15009e+03
30 1.68911e+03
31 1.94277e+03
32 1.93567e+03
33 1.93606e+03
34 1.93299e+03
35 1.92493e+03
36 1.91837e+03
37 1.91777e+03
38 1.92113e+03
39 1.52692e+03
40 1.61746e+03
