Currently using 
123
-943
884
-454
 as random number seeds for sims
 29 40.5302 50.4543 58.9961 66.348 72.6759 78.1224 82.8102 86.8451 90.3179 93.307 95.8797 98.0941 100
 24389 66578.7 128438 205338 292068 383859 476790 567874 654991 736752 812348 881414 943905 1e+06
144.648 real catch 125.881
150.477 real catch 135.356
89.7473 real catch 140.921
181.185 real catch 148.579
107.991 real catch 152.013
177.211 real catch 153.335
133.405 real catch 150.802
208.21 real catch 149.863
159.07 real catch 144.109
113.517 real catch 134.988
233.573 real catch 238.868
204.612 real catch 212.66
174.249 real catch 188.902
108.039 real catch 180.735
125.506 real catch 169.719
117.972 real catch 166.847
174.582 real catch 155.575
126.762 real catch 153.773
139.145 real catch 146.685
191.902 real catch 142.415
116.957 real catch 132.076
93.9697 real catch 126.586
141.184 real catch 117.31
162.8 real catch 114.56
113.615 real catch 106.169
85.1449 real catch 101.17
138.354 real catch 93.2398
57.7708 real catch 90.2649
110.399 real catch 80.7691
75.3912 real catch 74.1827
86.408 real catch 102.6
82.9038 real catch 94.9637
75.4044 real catch 90.8167
136.813 real catch 86.6334
40.9183 real catch 85.3097
80.8948 real catch 80.824
99.4197 real catch 76.4433
98.3078 real catch 73.3523
87.6946 real catch 69.2598
69.6294 real catch 71.763
0.043743 real catch 0.0436633
0.0382364 real catch 0.0413278
0.0389805 real catch 0.0335624
0.0270392 real catch 0.0253
0.0206826 real catch 0.0198733
0.0130548 real catch 0.0179001
0.0282839 real catch 0.0194726
0.0163119 real catch 0.0207699
0.0141618 real catch 0.0211095
0.013742 real catch 0.0213353
0.0267779 real catch 0.021235
0.0160624 real catch 0.0210942
0.0203828 real catch 0.0185746
0.0161225 real catch 0.0163604
0.0158807 real catch 0.0161726
0.0218601 real catch 0.016686
0.0125195 real catch 0.0181013
0.0257325 real catch 0.0180648
0.0157776 real catch 0.0167975
0.0195532 real catch 0.0155851
140.047 real catch 144.003
86.91 real catch 134.35
145.501 real catch 113.085
110.004 real catch 98.1764
102.012 real catch 98.7065
75.8539 real catch 103.75
99.5113 real catch 116.258
102.773 real catch 123.628
153.195 real catch 109.152
97.0361 real catch 81.2874
125.282 real catch 69.3328
93.1566 real catch 70.0559
104.817 real catch 77.9578
119.854 real catch 88.3107
95.9145 real catch 89.5932
65.6905 real catch 88.7703
135.763 real catch 88.8653
94.0572 real catch 88.5739
89.6314 real catch 77.9309
41.1953 real catch 69.5045
