1  1.6289e+09
2  1.8156e+09
3  1.9431e+09
4  2.0080e+09
5  2.0120e+09
6  1.9789e+09
7  1.9160e+09
8  1.8390e+09
9  1.7640e+09
10  1.6979e+09
11  1.6417e+09
12  1.5164e+09
13  1.4158e+09
14  1.3154e+09
15  1.2138e+09
16  1.1321e+09
17  1.0655e+09
18  1.0137e+09
19  9.6588e+08
20  9.3025e+08
21  8.9846e+08
22  8.4493e+08
23  7.8423e+08
24  7.3384e+08
25  6.7412e+08
26  6.2899e+08
27  5.8773e+08
28  5.6001e+08
29  5.3605e+08
30  4.9633e+08
31  4.6335e+08
32  4.1963e+08
33  3.9192e+08
34  3.7162e+08
35  3.5701e+08
36  3.5151e+08
37  3.5277e+08
38  3.5711e+08
39  3.6043e+08
40  3.5560e+08
1  2.6126e+09
2  2.7616e+09
3  2.8390e+09
4  2.8465e+09
5  2.7869e+09
6  2.6931e+09
7  2.5800e+09
8  2.4566e+09
9  2.3121e+09
10  2.1820e+09
11  2.0658e+09
12  1.8737e+09
13  1.7030e+09
14  1.5626e+09
15  1.4469e+09
16  1.3559e+09
17  1.2875e+09
18  1.2306e+09
19  1.1774e+09
20  1.1373e+09
21  1.1017e+09
22  1.0347e+09
23  9.6396e+08
24  8.8409e+08
25  8.1859e+08
26  7.6355e+08
27  7.2353e+08
28  6.9135e+08
29  6.5378e+08
30  6.0182e+08
31  5.5813e+08
32  5.0144e+08
33  4.6314e+08
34  4.3309e+08
35  4.1034e+08
36  3.9126e+08
37  3.8857e+08
38  3.8889e+08
39  3.8328e+08
40  3.7514e+08
1  1.4068e+09
2  1.5465e+09
3  1.6389e+09
4  1.6832e+09
5  1.6874e+09
6  1.6515e+09
7  1.5952e+09
8  1.5300e+09
9  1.4640e+09
10  1.4034e+09
11  1.3571e+09
12  1.2335e+09
13  1.1468e+09
14  1.0822e+09
15  1.0157e+09
16  9.5651e+08
17  9.1774e+08
18  8.8512e+08
19  8.6556e+08
20  8.4238e+08
21  8.2094e+08
22  7.7772e+08
23  7.2590e+08
24  6.6561e+08
25  6.1238e+08
26  5.6765e+08
27  5.3671e+08
28  5.2119e+08
29  4.9920e+08
30  4.7489e+08
31  4.4566e+08
32  4.0302e+08
33  3.7979e+08
34  3.6416e+08
35  3.5513e+08
36  3.4381e+08
37  3.4317e+08
38  3.4584e+08
