    1 2698.0 
    2 997.3 
    3 407.6 
    4 706.0 
    5 1109.2 
    6 883.0 
    7 892.7 
    8 1163.1 
    9 895.6 
   10 1250.7 
   11 894.0 
   12 643.4 
   13 391.5 
   14 615.6 
   15 734.0 
   16 773.7 
   17 841.7 
   18 684.2 
   19 662.0 
   20 698.1 
   21 617.6 
   22 661.4 
   23 244.6 
   24 500.1 
   25 691.7 
   26 602.9 
   27 609.1 
   28 713.3 
   29 132.4 
   30 139.5 
   31 617.9 
   32 405.1 
   33 511.4 
   34 468.0 
   35 519.0 
   36 520.1 
   37 512.0 
   38 465.9 
   39 198.8 
   40 464.3 
    1 2335.4 
    2 1285.5 
    3 701.4 
    4 859.0 
    5 1103.0 
    6 1289.6 
    7 1298.4 
    8 856.9 
    9 978.0 
   10 1305.3 
   11 1013.1 
   12 762.8 
   13 460.5 
   14 882.2 
   15 1164.3 
   16 880.3 
   17 948.2 
   18 645.8 
   19 776.7 
   20 852.9 
   21 735.5 
   22 628.3 
   23 178.9 
   24 712.5 
   25 787.1 
   26 706.4 
   27 685.5 
   28 640.9 
   29 130.4 
   30 107.9 
   31 664.9 
   32 499.5 
   33 526.4 
   34 486.0 
   35 506.0 
   36 497.0 
   37 694.1 
   38 397.5 
   39 114.4 
   40 524.2 
    1 2131.6 
    2 1135.2 
    3 447.4 
    4 583.2 
    5 999.8 
    6 836.0 
    7 843.7 
    8 979.4 
    9 743.7 
   10 885.4 
   11 1013.6 
   12 714.9 
   13 369.8 
   14 742.7 
   15 925.3 
   16 711.5 
   17 651.3 
   18 619.2 
   19 702.7 
   20 672.6 
   21 620.3 
   22 597.3 
   23 230.1 
   24 541.6 
   25 690.2 
   26 533.1 
   27 686.5 
   28 744.0 
   29 147.6 
   30 80.9 
   31 526.5 
   32 560.3 
   33 487.6 
   34 488.6 
   35 486.3 
   36 460.7 
   37 441.6 
   38 479.6 
   39 156.5 
   40 353.0 
    1 1969.7 
    2 782.2 
    3 427.5 
    4 668.0 
    5 934.5 
    6 979.0 
    7 1093.0 
    8 916.3 
    9 839.8 
   10 1260.8 
   11 1151.6 
   12 632.1 
   13 421.5 
   14 890.9 
   15 1082.9 
   16 892.0 
   17 739.3 
   18 775.8 
   19 760.2 
   20 600.8 
   21 880.1 
   22 622.4 
   23 150.9 
   24 659.8 
   25 872.7 
   26 595.1 
   27 802.4 
   28 627.4 
   29 101.5 
   30 107.8 
   31 597.2 
   32 566.1 
   33 464.0 
   34 434.7 
   35 583.2 
   36 458.3 
   37 512.6 
   38 568.3 
   39 184.1 
   40 562.4 
    1 1817.4 
    2 739.7 
    3 450.5 
    4 946.2 
    5 1063.6 
    6 925.5 
    7 972.8 
    8 808.7 
    9 755.8 
   10 1249.3 
   11 841.5 
   12 835.7 
   13 385.3 
   14 859.2 
   15 875.9 
   16 919.8 
   17 698.4 
   18 670.1 
   19 767.6 
   20 692.6 
   21 743.8 
   22 641.4 
   23 216.1 
   24 649.8 
   25 709.3 
   26 702.7 
   27 562.0 
   28 668.4 
   29 123.8 
   30 103.8 
   31 662.2 
   32 457.1 
   33 470.8 
   34 449.3 
   35 533.2 
   36 470.5 
   37 505.6 
   38 463.5 
   39 115.9 
   40 540.3 
    1 1993.7 
    2 931.7 
    3 459.1 
    4 680.7 
    5 960.8 
    6 914.5 
    7 1220.2 
    8 1080.3 
    9 824.7 
   10 722.3 
   11 1122.3 
   12 764.9 
   13 370.3 
   14 554.4 
   15 1126.9 
   16 976.1 
   17 618.1 
   18 466.1 
   19 699.7 
   20 654.4 
   21 589.0 
   22 699.8 
   23 183.9 
   24 667.5 
   25 646.8 
   26 700.1 
   27 568.4 
   28 615.8 
   29 140.7 
   30 97.2 
   31 650.9 
   32 503.0 
   33 463.2 
   34 495.7 
   35 471.5 
   36 433.2 
   37 495.8 
   38 441.3 
   39 135.1 
   40 469.2 
    1 2471.0 
    2 1082.8 
