         0.0130 0.0158 0.0302 0.0387 0.0583 0.1063 0.1063 0.1566 0.2604 0.2941 0.2939 0.2939 0.2939 0.2939          0.0285 0.0685 0.0987 0.0889 0.0320 0.0094 0.0029 0.0012 0.0009 0.0014 0.0044 0.0044 0.0044 0.0044
         0.0126 0.0151 0.0275 0.0342 0.0514 0.0747 0.0958 0.1713 0.1712 0.2506 0.2506 0.2506 0.2506 0.2506          0.0269 0.0792 0.0901 0.1081 0.0568 0.0217 0.0049 0.0012 0.0007 0.0009 0.0034 0.0034 0.0034 0.0034
         0.0112 0.0163 0.0319 0.0346 0.0691 0.0943 0.1185 0.1185 0.2693 0.3916 0.3914 0.3914 0.3914 0.3914          0.0327 0.0962 0.1057 0.1124 0.0486 0.0104 0.0026 0.0011 0.0010 0.0019 0.0063 0.0063 0.0063 0.0063
         0.0116 0.0127 0.0248 0.0328 0.0512 0.0832 0.0909 0.1217 0.2035 0.2122 0.3049 0.3049 0.3049 0.3049          0.0255 0.0597 0.0840 0.0833 0.0566 0.0155 0.0034 0.0011 0.0007 0.0011 0.0039 0.0039 0.0039 0.0039
         0.0118 0.0120 0.0249 0.0249 0.0646 0.0675 0.1094 0.1166 0.2608 0.2662 0.3777 0.3777 0.3777 0.3777          0.0352 0.0803 0.0965 0.1193 0.0621 0.0240 0.0085 0.0027 0.0015 0.0019 0.0055 0.0055 0.0055 0.0055
         0.0127 0.0172 0.0308 0.0370 0.0656 0.0840 0.0840 0.2120 0.2120 0.2588 0.4132 0.4132 0.4132 0.4132          0.0301 0.0868 0.1215 0.1034 0.0609 0.0183 0.0052 0.0018 0.0012 0.0017 0.0053 0.0053 0.0053 0.0053
         0.0134 0.0148 0.0232 0.0321 0.0480 0.0827 0.0827 0.1164 0.1878 0.1878 0.3025 0.3025 0.3025 0.3025          0.0307 0.0765 0.0900 0.0995 0.0464 0.0135 0.0034 0.0012 0.0008 0.0013 0.0044 0.0044 0.0044 0.0044
         0.0106 0.0112 0.0241 0.0325 0.0497 0.0587 0.0915 0.1302 0.1302 0.2671 0.4225 0.4225 0.4225 0.4225          0.0282 0.0653 0.0884 0.0994 0.0467 0.0244 0.0058 0.0018 0.0012 0.0018 0.0056 0.0056 0.0056 0.0056
         0.0136 0.0186 0.0330 0.0434 0.0737 0.0737 0.1393 0.1392 0.2169 0.3220 0.3218 0.3218 0.3218 0.3218          0.0324 0.0855 0.1097 0.0988 0.0562 0.0168 0.0049 0.0017 0.0011 0.0015 0.0047 0.0047 0.0047 0.0047
         0.0134 0.0160 0.0293 0.0350 0.0568 0.0907 0.1040 0.1155 0.1598 0.3136 0.3756 0.3756 0.3756 0.3756          0.0273 0.0729 0.0763 0.1014 0.0540 0.0159 0.0039 0.0012 0.0008 0.0012 0.0043 0.0043 0.0043 0.0043
         0.0103 0.0103 0.0237 0.0324 0.0425 0.0720 0.0780 0.1214 0.2229 0.2228 0.3587 0.3587 0.3587 0.3587          0.0238 0.0555 0.0687 0.0917 0.0667 0.0192 0.0054 0.0020 0.0012 0.0016 0.0045 0.0045 0.0045 0.0045
         0.0106 0.0135 0.0230 0.0249 0.0573 0.0573 0.0919 0.0987 0.1489 0.3112 0.3294 0.3294 0.3294 0.3294          0.0264 0.0619 0.0820 0.0929 0.0412 0.0207 0.0053 0.0015 0.0009 0.0013 0.0042 0.0042 0.0042 0.0042
         0.0123 0.0123 0.0236 0.0366 0.0572 0.0722 0.1026 0.1641 0.1796 0.2834 0.3413 0.3413 0.3413 0.3413          0.0240 0.0592 0.0728 0.0896 0.0487 0.0139 0.0040 0.0015 0.0010 0.0014 0.0040 0.0040 0.0040 0.0040
         0.0138 0.0151 0.0275 0.0366 0.0518 0.0922 0.0922 0.1035 0.3604 0.3646 0.5507 0.5507 0.5507 0.5507          0.0309 0.0791 0.1043 0.1135 0.0694 0.0175 0.0044 0.0017 0.0013 0.0023 0.0071 0.0071 0.0071 0.0071
         0.0110 0.0125 0.0243 0.0333 0.0466 0.0699 0.1114 0.1291 0.1622 0.3409 0.3840 0.3840 0.3840 0.3840          0.0298 0.0717 0.1025 0.1046 0.0618 0.0247 0.0080 0.0032 0.0019 0.0023 0.0061 0.0061 0.0061 0.0061
         0.0134 0.0168 0.0283 0.0312 0.0657 0.0693 0.0957 0.1508 0.1580 0.2800 0.3691 0.3691 0.3691 0.3691          0.0313 0.0638 0.0865 0.1048 0.0806 0.0229 0.0094 0.0033 0.0016 0.0016 0.0043 0.0043 0.0043 0.0043
         0.0120 0.0128 0.0244 0.0386 0.0410 0.0910 0.0993 0.1239 0.2010 0.2572 0.2905 0.2905 0.2905 0.2905          0.0238 0.0627 0.0818 0.1015 0.0472 0.0178 0.0046 0.0014 0.0008 0.0011 0.0038 0.0038 0.0038 0.0038
         0.0121 0.0143 0.0247 0.0339 0.0514 0.0673 0.1135 0.1135 0.1837 0.3495 0.3494 0.3494 0.3494 0.3494          0.0324 0.0789 0.1013 0.1132 0.0652 0.0256 0.0061 0.0019 0.0013 0.0019 0.0061 0.0061 0.0061 0.0061
         0.0116 0.0116 0.0210 0.0304 0.0473 0.0624 0.0933 0.0979 0.1602 0.3808 0.3807 0.3807 0.3807 0.3807          0.0274 0.0699 0.0734 0.1068 0.0652 0.0266 0.0069 0.0020 0.0011 0.0015 0.0046 0.0046 0.0046 0.0046
         0.0116 0.0134 0.0292 0.0354 0.0582 0.0658 0.1090 0.1266 0.1266 0.2509 0.3275 0.3275 0.3275 0.3275          0.0305 0.0817 0.0907 0.0926 0.0713 0.0145 0.0031 0.0010 0.0007 0.0010 0.0037 0.0037 0.0037 0.0037
         0.0151 0.0176 0.0341 0.0341 0.0706 0.0750 0.1228 0.1321 0.2027 0.3274 0.3936 0.3936 0.3936 0.3936          0.0358 0.0878 0.1154 0.1271 0.0595 0.0206 0.0065 0.0023 0.0014 0.0019 0.0056 0.0056 0.0056 0.0056
         0.0131 0.0140 0.0325 0.0324 0.0672 0.0906 0.1023 0.1023 0.1499 0.2367 0.5206 0.5206 0.5206 0.5206          0.0271 0.0724 0.0962 0.1061 0.0611 0.0159 0.0033 0.0011 0.0008 0.0013 0.0049 0.0049 0.0049 0.0049
         0.0112 0.0112 0.0222 0.0329 0.0539 0.0539 0.1071 0.1258 0.1475 0.2495 0.2494 0.2494 0.2494 0.2494          0.0217 0.0645 0.0701 0.0907 0.0487 0.0190 0.0054 0.0014 0.0007 0.0009 0.0031 0.0031 0.0031 0.0031
         0.0098 0.0134 0.0280 0.0311 0.0517 0.0841 0.0872 0.1304 0.1929 0.2334 0.3006 0.3006 0.3006 0.3006          0.0306 0.0746 0.0975 0.1189 0.0491 0.0162 0.0042 0.0014 0.0009 0.0015 0.0049 0.0049 0.0049 0.0049
         0.0119 0.0132 0.0260 0.0270 0.0592 0.0767 0.1130 0.1426 0.1947 0.2531 0.3834 0.3834 0.3834 0.3834          0.0291 0.0815 0.0982 0.1042 0.0752 0.0281 0.0069 0.0021 0.0013 0.0018 0.0059 0.0059 0.0059 0.0059
         0.0127 0.0156 0.0262 0.0348 0.0571 0.0734 0.1056 0.1703 0.1724 0.3078 0.3543 0.3543 0.3543 0.3543          0.0278 0.0747 0.0961 0.1113 0.0673 0.0215 0.0070 0.0026 0.0015 0.0018 0.0051 0.0051 0.0051 0.0051
         0.0149 0.0182 0.0344 0.0421 0.0812 0.0812 0.1411 0.1462 0.2516 0.3303 0.3367 0.3367 0.3367 0.3367          0.0371 0.1029 0.1175 0.1127 0.0740 0.0176 0.0034 0.0011 0.0007 0.0012 0.0046 0.0046 0.0046 0.0046
         0.0114 0.0134 0.0209 0.0315 0.0548 0.0680 0.1025 0.1221 0.2139 0.2138 0.3278 0.3278 0.3278 0.3278          0.0276 0.0707 0.0884 0.0942 0.0578 0.0206 0.0064 0.0020 0.0011 0.0015 0.0046 0.0046 0.0046 0.0046
         0.0130 0.0176 0.0298 0.0366 0.0638 0.0823 0.1179 0.1179 0.1605 0.3241 0.3239 0.3239 0.3239 0.3239          0.0341 0.0973 0.1124 0.1222 0.0657 0.0145 0.0040 0.0015 0.0011 0.0017 0.0053 0.0053 0.0053 0.0053
         0.0100 0.0138 0.0251 0.0285 0.0592 0.0661 0.0963 0.1263 0.1687 0.2663 0.3363 0.3363 0.3363 0.3363          0.0253 0.0725 0.0873 0.0960 0.0407 0.0136 0.0033 0.0011 0.0008 0.0013 0.0045 0.0045 0.0045 0.0045
         0.0129 0.0130 0.0294 0.0294 0.0595 0.0684 0.1012 0.1366 0.1956 0.1956 0.3860 0.3860 0.3860 0.3860          0.0294 0.0801 0.0922 0.0993 0.0630 0.0147 0.0035 0.0013 0.0010 0.0017 0.0054 0.0054 0.0054 0.0054
         0.0111 0.0144 0.0266 0.0327 0.0540 0.0767 0.1035 0.1110 0.3219 0.3571 0.3568 0.3568 0.3568 0.3568          0.0312 0.0878 0.0992 0.1341 0.0611 0.0152 0.0045 0.0017 0.0013 0.0021 0.0065 0.0065 0.0065 0.0065
         0.0122 0.0154 0.0242 0.0264 0.0671 0.0739 0.1216 0.1485 0.1918 0.3249 0.3248 0.3248 0.3248 0.3248          0.0257 0.0723 0.0843 0.0870 0.0548 0.0164 0.0039 0.0014 0.0009 0.0014 0.0045 0.0045 0.0045 0.0045
         0.0111 0.0113 0.0266 0.0303 0.0566 0.0709 0.1228 0.1228 0.2184 0.2983 0.4430 0.4430 0.4430 0.4430          0.0302 0.0666 0.1038 0.0906 0.0743 0.0183 0.0040 0.0014 0.0010 0.0018 0.0058 0.0058 0.0058 0.0058
         0.0134 0.0135 0.0289 0.0335 0.0503 0.0692 0.1143 0.1278 0.2005 0.2961 0.3657 0.3657 0.3657 0.3657          0.0288 0.0736 0.0970 0.1129 0.0479 0.0171 0.0080 0.0029 0.0015 0.0018 0.0049 0.0049 0.0049 0.0049
         0.0125 0.0132 0.0273 0.0319 0.0566 0.0745 0.0763 0.1579 0.1579 0.2692 0.2807 0.2807 0.2807 0.2807          0.0275 0.0705 0.0771 0.1139 0.0685 0.0152 0.0041 0.0016 0.0011 0.0015 0.0044 0.0044 0.0044 0.0044
