         0.0441 0.0536 0.1028 0.1316 0.1983 0.3616 0.3616 0.5326 0.8854 1.0000 0.9995 0.9995 0.9995 0.9995
         0.0501 0.0603 0.1096 0.1365 0.2050 0.2982 0.3823 0.6835 0.6833 1.0000 0.9998 0.9998 0.9998 0.9998
         0.0287 0.0416 0.0815 0.0883 0.1764 0.2407 0.3027 0.3027 0.6876 1.0000 0.9996 0.9996 0.9996 0.9996
         0.0379 0.0415 0.0813 0.1075 0.1679 0.2728 0.2982 0.3991 0.6673 0.6957 1.0000 1.0000 1.0000 1.0000
         0.0313 0.0319 0.0660 0.0660 0.1710 0.1787 0.2895 0.3087 0.6904 0.7049 1.0000 1.0000 1.0000 1.0000
         0.0307 0.0416 0.0746 0.0896 0.1588 0.2033 0.2032 0.5132 0.5130 0.6264 1.0000 1.0000 1.0000 1.0000
         0.0443 0.0491 0.0766 0.1061 0.1588 0.2736 0.2735 0.3849 0.6209 0.6208 1.0000 1.0000 1.0000 1.0000
         0.0250 0.0266 0.0570 0.0768 0.1176 0.1390 0.2166 0.3082 0.3081 0.6322 1.0000 1.0000 1.0000 1.0000
         0.0423 0.0578 0.1026 0.1348 0.2288 0.2288 0.4326 0.4324 0.6736 1.0000 0.9996 0.9996 0.9996 0.9996
         0.0356 0.0427 0.0780 0.0931 0.1513 0.2414 0.2768 0.3076 0.4254 0.8350 1.0000 1.0000 1.0000 1.0000
         0.0288 0.0287 0.0660 0.0904 0.1186 0.2007 0.2173 0.3385 0.6214 0.6213 1.0000 1.0000 1.0000 1.0000
         0.0323 0.0411 0.0700 0.0756 0.1739 0.1739 0.2790 0.2995 0.4521 0.9447 1.0000 1.0000 1.0000 1.0000
         0.0360 0.0360 0.0692 0.1073 0.1675 0.2115 0.3005 0.4808 0.5264 0.8304 1.0000 1.0000 1.0000 1.0000
         0.0251 0.0275 0.0499 0.0665 0.0941 0.1674 0.1673 0.1879 0.6544 0.6621 1.0000 1.0000 1.0000 1.0000
         0.0287 0.0327 0.0633 0.0868 0.1213 0.1821 0.2901 0.3362 0.4225 0.8879 1.0000 1.0000 1.0000 1.0000
         0.0363 0.0454 0.0766 0.0846 0.1780 0.1876 0.2593 0.4085 0.4279 0.7586 1.0000 1.0000 1.0000 1.0000
         0.0414 0.0440 0.0839 0.1328 0.1413 0.3132 0.3417 0.4263 0.6921 0.8854 1.0000 1.0000 1.0000 1.0000
         0.0345 0.0409 0.0707 0.0971 0.1472 0.1925 0.3248 0.3246 0.5256 1.0000 0.9997 0.9997 0.9997 0.9997
         0.0306 0.0306 0.0550 0.0799 0.1243 0.1640 0.2451 0.2572 0.4206 1.0000 0.9997 0.9997 0.9997 0.9997
         0.0353 0.0408 0.0892 0.1081 0.1778 0.2009 0.3327 0.3867 0.3866 0.7661 1.0000 1.0000 1.0000 1.0000
         0.0383 0.0447 0.0867 0.0867 0.1793 0.1905 0.3119 0.3355 0.5150 0.8318 1.0000 1.0000 1.0000 1.0000
         0.0252 0.0268 0.0623 0.0623 0.1291 0.1739 0.1965 0.1965 0.2880 0.4546 1.0000 1.0000 1.0000 1.0000
         0.0450 0.0450 0.0891 0.1318 0.2162 0.2162 0.4293 0.5042 0.5911 1.0000 0.9995 0.9995 0.9995 0.9995
         0.0327 0.0445 0.0931 0.1035 0.1719 0.2799 0.2901 0.4339 0.6419 0.7764 1.0000 1.0000 1.0000 1.0000
         0.0310 0.0345 0.0678 0.0705 0.1543 0.1999 0.2948 0.3720 0.5078 0.6601 1.0000 1.0000 1.0000 1.0000
         0.0359 0.0440 0.0740 0.0981 0.1613 0.2072 0.2981 0.4808 0.4866 0.8687 1.0000 1.0000 1.0000 1.0000
         0.0443 0.0540 0.1021 0.1252 0.2413 0.2412 0.4191 0.4340 0.7473 0.9810 1.0000 1.0000 1.0000 1.0000
         0.0348 0.0410 0.0638 0.0962 0.1673 0.2075 0.3126 0.3725 0.6525 0.6523 1.0000 1.0000 1.0000 1.0000
         0.0400 0.0543 0.0921 0.1131 0.1970 0.2538 0.3639 0.3638 0.4953 1.0000 0.9994 0.9994 0.9994 0.9994
         0.0296 0.0409 0.0747 0.0846 0.1762 0.1966 0.2863 0.3755 0.5018 0.7918 1.0000 1.0000 1.0000 1.0000
         0.0334 0.0336 0.0762 0.0762 0.1541 0.1771 0.2623 0.3539 0.5067 0.5067 1.0000 1.0000 1.0000 1.0000
         0.0312 0.0403 0.0745 0.0915 0.1513 0.2148 0.2898 0.3110 0.9016 1.0000 0.9992 0.9992 0.9992 0.9992
         0.0374 0.0474 0.0746 0.0812 0.2067 0.2274 0.3743 0.4571 0.5905 1.0000 0.9998 0.9998 0.9998 0.9998
         0.0250 0.0255 0.0600 0.0685 0.1278 0.1600 0.2773 0.2772 0.4931 0.6733 1.0000 1.0000 1.0000 1.0000
         0.0367 0.0370 0.0790 0.0917 0.1376 0.1893 0.3125 0.3495 0.5481 0.8096 1.0000 1.0000 1.0000 1.0000
         0.0445 0.0469 0.0974 0.1136 0.2015 0.2654 0.2719 0.5625 0.5624 0.9592 1.0000 1.0000 1.0000 1.0000
         0.0284 0.0319 0.0648 0.0720 0.1522 0.1635 0.2119 0.3781 0.4717 0.4883 1.0000 1.0000 1.0000 1.0000
         0.0336 0.0354 0.0604 0.0848 0.1504 0.2140 0.3236 0.3236 0.3235 0.7906 1.0000 1.0000 1.0000 1.0000
         0.0380 0.0449 0.0837 0.0837 0.1635 0.2757 0.3287 0.4314 0.8319 0.8317 1.0000 1.0000 1.0000 1.0000
         0.0321 0.0399 0.0609 0.0935 0.1516 0.1987 0.2518 0.3121 0.5408 1.0000 0.9996 0.9996 0.9996 0.9996
         0.0302 0.0444 0.0639 0.1081 0.1528 0.2476 0.2475 0.3846 0.6850 0.8300 1.0000 1.0000 1.0000 1.0000
         0.0366 0.0444 0.0816 0.0906 0.1693 0.2322 0.3166 0.4390 0.8085 1.0000 0.9996 0.9996 0.9996 0.9996
         0.0290 0.0431 0.0709 0.0894 0.1867 0.1963 0.2753 0.4646 0.4645 0.4644 1.0000 1.0000 1.0000 1.0000
         0.0298 0.0365 0.0732 0.0921 0.1121 0.2219 0.2365 0.3509 0.4753 0.8125 1.0000 1.0000 1.0000 1.0000
         0.0467 0.0467 0.1020 0.1044 0.1840 0.3129 0.3129 0.3127 0.7866 1.0000 0.9993 0.9993 0.9993 0.9993
         0.0320 0.0320 0.0778 0.0892 0.1739 0.2163 0.2930 0.5094 0.6006 0.6704 1.0000 1.0000 1.0000 1.0000
         0.0341 0.0483 0.0768 0.0882 0.1579 0.2384 0.3080 0.4474 0.5367 0.9913 1.0000 1.0000 1.0000 1.0000
         0.0440 0.0507 0.0977 0.1241 0.1946 0.2800 0.2931 0.3947 0.6385 0.9728 1.0000 1.0000 1.0000 1.0000
         0.0369 0.0425 0.0955 0.1365 0.1773 0.2696 0.2695 0.6708 0.6706 1.0000 0.9996 0.9996 0.9996 0.9996
         0.0346 0.0488 0.0881 0.1067 0.1913 0.2184 0.3446 0.3445 0.3732 0.7931 1.0000 1.0000 1.0000 1.0000
